[04-Apr-2023 08:17:55 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[04-Apr-2023 10:56:48 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[04-Apr-2023 11:04:10 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[04-Apr-2023 11:16:09 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[04-Apr-2023 11:20:48 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[04-Apr-2023 11:21:34 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[04-Apr-2023 12:19:54 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[04-Apr-2023 13:03:21 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[04-Apr-2023 13:05:25 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[04-Apr-2023 13:12:05 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[04-Apr-2023 13:21:44 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\dolibarr\www\dolibarr\htdocs\core\lib\functions.lib.php on line 3735
